PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll 
0.035000,0.025503,-0.003476,0.088211,5.578995,0.842037,0.056788
0.045000,0.025507,-0.003491,0.088201,5.577709,0.803781,0.034079
0.055000,0.025518,-0.003491,0.088214,5.590609,0.831559,0.061865
0.065000,0.025502,-0.003486,0.088208,5.595560,0.824405,0.071929
0.075000,0.025502,-0.003488,0.088190,5.580569,0.800041,0.053893
0.085000,0.025488,-0.003485,0.088178,5.598990,0.803789,0.056504
0.095000,0.025503,-0.003468,0.088214,5.595416,0.818388,0.061167
0.105000,0.025509,-0.003488,0.088208,5.602433,0.869784,0.097248
0.115000,0.025506,-0.003491,0.088189,5.576777,0.806318,0.052319
0.125000,0.025497,-0.003488,0.088190,5.584666,0.794802,0.048229
0.134000,0.025508,-0.003479,0.088205,5.576218,0.796078,0.023629
0.145000,0.025512,-0.003489,0.088225,5.590145,0.843668,0.067568
0.155000,0.025523,-0.003492,0.088221,5.585375,0.825824,0.065000
0.164000,0.025493,-0.003464,0.088205,5.574346,0.825280,0.080634
0.175000,0.025495,-0.003484,0.088188,5.580430,0.802437,0.053398
0.184000,0.025492,-0.003485,0.088208,5.583963,0.812308,0.060337
0.195000,0.025505,-0.003473,0.088208,5.584616,0.832327,0.040614
0.205000,0.025503,-0.003491,0.088202,5.580608,0.803922,0.035329
0.214000,0.025499,-0.003492,0.088192,5.582241,0.803839,0.042471
0.225000,0.025508,-0.003491,0.088216,5.599337,0.826985,0.088891
0.234000,0.025514,-0.003482,0.088192,5.583586,0.803025,0.022050
0.245000,0.025509,-0.003481,0.088214,5.573522,0.837917,0.052652
0.255000,0.025509,-0.003486,0.088192,5.576662,0.789339,0.039568
0.264000,0.025508,-0.003494,0.088203,5.578830,0.830274,0.062077
0.274000,0.025497,-0.003469,0.088219,5.594200,0.835439,0.054288
0.285000,0.025495,-0.003491,0.088205,5.592769,0.799791,0.047613
0.295000,0.025486,-0.003493,0.088202,5.595369,0.817606,0.042294
0.304000,0.025515,-0.003495,0.088220,5.589326,0.877479,0.087007
0.315000,0.025498,-0.003470,0.088214,5.585603,0.829520,0.078285
0.325000,0.025488,-0.003490,0.088216,5.598040,0.829781,0.052020
0.335000,0.025500,-0.003471,0.088215,5.583370,0.829480,0.042620
0.345000,0.025513,-0.003489,0.088210,5.578282,0.800881,0.032339
0.354000,0.025488,-0.003487,0.088202,5.588802,0.822547,0.054883
