PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll, X_ref, Y_ref, Z_ref 
0.542000,-0.109593,0.404575,0.092462,2.799345,-2.252035,-1.603560,0.000000,0.000000,0.500000
0.552000,-0.109592,0.404515,0.092370,2.754890,-1.936180,-1.481197,0.000000,0.000000,0.500000
0.562000,-0.109572,0.404680,0.092505,2.976711,-2.383590,-1.657331,0.000000,0.000000,0.500000
0.572000,-0.109595,0.404758,0.092515,3.064347,-2.191414,-1.595699,0.000000,0.000000,0.500000
0.582000,-0.109590,0.404637,0.092515,2.900013,-2.443267,-1.691647,0.000000,0.000000,0.500000
0.592000,-0.109575,0.404662,0.092513,2.969496,-2.421675,-1.662327,0.000000,0.000000,0.500000
0.602000,-0.109590,0.404726,0.092517,3.044091,-2.188355,-1.580435,0.000000,0.000000,0.500000
0.612000,-0.109577,0.404701,0.092517,3.024136,-2.229998,-1.587845,0.000000,0.000000,0.500000
0.622000,-0.109582,0.404722,0.092510,3.037135,-2.193809,-1.587718,0.000000,0.000000,0.500000
0.632000,-0.109586,0.404740,0.092412,3.034038,-2.174670,-1.723256,0.000000,0.000000,0.500000
0.642000,-0.109608,0.404753,0.092513,3.066238,-2.201634,-1.611126,0.000000,0.000000,0.500000
0.652000,-0.109604,0.404756,0.092509,3.061114,-2.194195,-1.604381,0.000000,0.000000,0.500000
0.662000,-0.109597,0.404740,0.092515,3.048500,-2.193213,-1.611582,0.000000,0.000000,0.500000
0.672000,-0.109600,0.404737,0.092510,3.063420,-2.200255,-1.611901,0.000000,0.000000,0.500000
0.682000,-0.109599,0.404748,0.092504,3.059326,-2.191250,-1.609885,0.000000,0.000000,0.500000
0.692000,-0.109604,0.404762,0.092508,3.063213,-2.190388,-1.609084,0.000000,0.000000,0.500000
0.702000,-0.109575,0.404732,0.092389,3.031295,-2.217612,-1.750972,0.000000,0.000000,0.500000
0.712000,-0.109597,0.404748,0.092508,3.066254,-2.201679,-1.588699,0.000000,0.000000,0.500000
0.722000,-0.109598,0.404734,0.092506,3.045736,-2.189768,-1.608774,0.000000,0.000000,0.500000
0.732000,-0.109598,0.404752,0.092514,3.064985,-2.193613,-1.612306,0.000000,0.000000,0.500000
0.742000,-0.109585,0.404737,0.092510,3.047688,-2.204491,-1.613137,0.000000,0.000000,0.500000
0.752000,-0.109586,0.404726,0.092513,3.038078,-2.218064,-1.603640,0.000000,0.000000,0.500000
0.762000,-0.109595,0.404764,0.092498,3.071466,-2.191921,-1.584379,0.000000,0.000000,0.500000
0.772000,-0.109607,0.404759,0.092501,3.061251,-2.178435,-1.603491,0.000000,0.000000,0.500000
0.782000,-0.109604,0.404751,0.092506,3.058383,-2.195255,-1.611907,0.000000,0.000000,0.500000
0.792000,-0.109583,0.404626,0.092518,2.897467,-2.437250,-1.702742,0.000000,0.000000,0.500000
0.802000,-0.109584,0.404725,0.092516,3.034294,-2.212386,-1.579874,0.000000,0.000000,0.500000
0.812000,-0.109603,0.404758,0.092512,3.072865,-2.180297,-1.606816,0.000000,0.000000,0.500000
0.822000,-0.109590,0.404743,0.092505,3.053111,-2.204109,-1.598516,0.000000,0.000000,0.500000
0.832000,-0.109596,0.404727,0.092511,3.035688,-2.194879,-1.606151,0.000000,0.000000,0.500000
0.842000,-0.109604,0.404637,0.092565,2.794466,-2.603235,-1.675051,0.000000,0.000000,0.500000
0.852000,-0.109596,0.404732,0.092509,3.051987,-2.195928,-1.612392,0.000000,0.000000,0.500000
0.862000,-0.109585,0.404749,0.092510,3.060589,-2.177428,-1.592892,0.000000,0.000000,0.500000
0.872000,-0.109691,0.404543,0.092455,2.892737,-2.183492,-1.600862,0.000000,0.000000,0.500000
0.882000,-0.109584,0.404721,0.092507,3.045706,-2.217309,-1.581461,0.000000,0.000000,0.500000
0.892000,-0.109586,0.404622,0.092642,2.849402,-2.511585,-1.681998,0.000000,0.000000,0.500000
0.902000,-0.109603,0.404770,0.092511,3.077741,-2.191155,-1.601212,0.000000,0.000000,0.500000
0.912000,-0.109609,0.404602,0.092612,2.867582,-2.574011,-1.677634,0.000000,0.000000,0.500000
0.922000,-0.109585,0.404604,0.092538,2.832926,-2.490612,-1.750825,0.000000,0.000000,0.500000
0.932000,-0.109608,0.404739,0.092518,3.065235,-2.204337,-1.620953,0.000000,0.000000,0.500000
0.942000,-0.109593,0.404737,0.092520,3.054123,-2.189409,-1.581181,0.000000,0.000000,0.500000
0.952000,-0.109597,0.404724,0.092510,3.045848,-2.221366,-1.601462,0.000000,0.000000,0.500000
0.962000,-0.109603,0.404744,0.092507,3.063457,-2.195541,-1.590142,0.000000,0.000000,0.500000
0.972000,-0.109590,0.404617,0.092664,2.915120,-2.587708,-1.775949,0.000000,0.000000,0.500000
0.986000,-0.109577,0.404707,0.092389,3.013272,-2.228119,-1.772108,0.000000,0.000000,0.500000
0.992000,-0.109595,0.404548,0.092642,2.742066,-2.772572,-1.664919,0.000000,0.000000,0.500000
1.002000,-0.109602,0.404589,0.092546,2.872574,-2.415777,-1.709933,0.000000,0.000000,0.500000
1.012000,-0.109588,0.404735,0.092510,3.064305,-2.201362,-1.589112,0.000000,0.000000,0.500000
1.023000,-0.109605,0.404755,0.092507,3.065689,-2.168261,-1.594286,0.000000,0.000000,0.500000
1.032000,-0.109602,0.404754,0.092504,3.050391,-2.170675,-1.603940,0.000000,0.000000,0.500000
1.042000,-0.109602,0.404598,0.092460,2.791333,-2.390899,-1.586016,0.000000,0.000000,0.500000
1.055000,-0.109572,0.404727,0.092504,3.046973,-2.210765,-1.566182,0.000000,0.000000,0.500000
1.064000,-0.109579,0.404583,0.092534,2.840283,-2.467528,-1.738475,0.000000,0.000000,0.500000
1.075000,-0.109572,0.404714,0.092518,3.039956,-2.218656,-1.581990,0.000000,0.000000,0.500000
1.088000,-0.109564,0.404564,0.092420,2.825403,-2.153464,-1.622288,0.000000,0.000000,0.500000
1.093000,-0.109566,0.404710,0.092403,3.023247,-2.226068,-1.778846,0.000000,0.000000,0.500000
1.102000,-0.109581,0.404610,0.092524,2.905757,-2.425826,-1.691905,0.000000,0.000000,0.500000
1.112000,-0.109588,0.404729,0.092508,3.054691,-2.210900,-1.619051,0.000000,0.000000,0.500000
1.122000,-0.109567,0.404712,0.092404,3.026068,-2.211310,-1.743677,0.000000,0.000000,0.500000
1.132000,-0.109592,0.404735,0.092519,3.055415,-2.210572,-1.603647,0.000000,0.000000,0.500000
1.142000,-0.109557,0.404595,0.092644,2.837016,-2.666185,-1.692044,0.000000,0.000000,0.500000
1.152000,-0.109583,0.404743,0.092510,3.054601,-2.206185,-1.595369,0.000000,0.000000,0.500000
