PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll 
0.039000,-0.029475,0.016625,0.088882,2.939205,0.425906,0.349769
0.049000,-0.029496,0.016692,0.088774,2.957096,0.306049,0.241618
0.059000,-0.029474,0.016631,0.088877,2.942905,0.431067,0.346981
0.069000,-0.029498,0.016706,0.088806,2.932395,0.308698,0.251945
0.079000,-0.029497,0.016696,0.088797,2.951993,0.275620,0.230183
0.090000,-0.029509,0.016703,0.088799,2.930602,0.309380,0.251193
0.100000,-0.029485,0.016677,0.088780,2.925731,0.297195,0.221952
0.110000,-0.029507,0.016695,0.088800,2.942430,0.289157,0.226071
0.120000,-0.029469,0.016639,0.088848,2.983714,0.398926,0.295949
0.130000,-0.029453,0.016625,0.088880,2.950991,0.419765,0.344706
0.140000,-0.029446,0.016606,0.088849,2.952340,0.410659,0.299109
0.150000,-0.029478,0.016634,0.088861,2.951374,0.411795,0.339257
0.160000,-0.029484,0.016694,0.088768,2.920195,0.302494,0.235084
0.169000,-0.029514,0.016689,0.088799,2.952546,0.279240,0.195996
0.180000,-0.029497,0.016691,0.088768,2.942839,0.293070,0.259785
0.189000,-0.029439,0.016621,0.088845,2.961585,0.436767,0.345804
0.199000,-0.029492,0.016686,0.088811,2.936041,0.307301,0.235742
0.209000,-0.029456,0.016612,0.088846,2.966254,0.446534,0.363990
0.220000,-0.029502,0.016706,0.088792,2.926520,0.292233,0.260197
0.229000,-0.029465,0.016630,0.088860,2.961717,0.418253,0.330988
0.240000,-0.029478,0.016639,0.088863,2.957336,0.422991,0.332583
0.250000,-0.029470,0.016702,0.088784,2.944112,0.290493,0.238619
0.259000,-0.029464,0.016639,0.088877,2.973093,0.377202,0.272981
0.269000,-0.029498,0.016695,0.088796,2.941554,0.284972,0.234055
0.280000,-0.029456,0.016631,0.088863,2.961807,0.429391,0.353541
0.290000,-0.029487,0.016702,0.088805,2.931058,0.278676,0.223623
0.299000,-0.029468,0.016699,0.088774,2.939930,0.279644,0.212214
0.310000,-0.029487,0.016688,0.088795,2.951062,0.289832,0.238426
0.319000,-0.029508,0.016684,0.088783,2.950857,0.291299,0.237904
0.330000,-0.029505,0.016690,0.088800,2.942594,0.283001,0.215728
0.339000,-0.029485,0.016696,0.088789,2.949773,0.302938,0.225711
0.350000,-0.029508,0.016693,0.088791,2.951507,0.287389,0.200521
0.360000,-0.029471,0.016681,0.088784,2.940640,0.309156,0.224044
0.369000,-0.029490,0.016696,0.088799,2.948286,0.287956,0.212457
0.379000,-0.029465,0.016606,0.088868,2.954933,0.409217,0.300139
