PC Time, Mocap_X, Mocap_y, Mocap_z, Mocap_yaw, Mocap_pitch, Mocap_roll 
0.035000,-0.031431,0.041906,0.088885,0.002800,0.083952,0.028955
0.045000,-0.031432,0.041911,0.088869,-0.005601,0.107761,0.039399
0.055000,-0.031443,0.041933,0.088851,-0.018657,0.047274,0.026682
0.065000,-0.031439,0.041896,0.088845,-0.025454,0.127866,0.113013
0.075000,-0.031427,0.041902,0.088871,-0.006500,0.084903,0.013219
0.085000,-0.031450,0.041874,0.088852,-0.009192,0.119292,0.090583
0.094000,-0.031428,0.041875,0.088843,-0.029549,0.152189,0.102664
0.105000,-0.031436,0.041885,0.088848,-0.026332,0.154326,0.123478
0.115000,-0.031432,0.041902,0.088867,-0.013014,0.088698,0.035097
0.125000,-0.031421,0.041907,0.088877,0.007343,0.056144,-0.003603
0.134000,-0.031442,0.041888,0.088843,-0.030104,0.160357,0.117922
0.145000,-0.031428,0.041904,0.088879,0.003316,0.073180,0.014881
0.155000,-0.031448,0.041885,0.088838,-0.007481,0.159800,0.129854
0.165000,-0.031425,0.041899,0.088878,0.011291,0.059389,0.009585
0.175000,-0.031424,0.041905,0.088875,0.002497,0.079075,0.019763
0.185000,-0.031454,0.041881,0.088839,-0.001930,0.145637,0.120570
0.195000,-0.031440,0.041913,0.088877,0.000434,0.102574,0.033818
0.204000,-0.031434,0.041922,0.088876,0.001866,0.074211,0.024423
0.215000,-0.031431,0.041924,0.088856,0.000129,0.033754,0.015443
0.225000,-0.031446,0.041923,0.088861,-0.018400,0.020781,0.014912
0.235000,-0.031436,0.041874,0.088842,-0.038259,0.163311,0.129554
0.245000,-0.031443,0.041870,0.088852,-0.008142,0.137032,0.115032
0.255000,-0.031432,0.041912,0.088878,-0.003539,0.097846,0.039006
0.265000,-0.031436,0.041887,0.088849,-0.003987,0.154451,0.110051
0.275000,-0.031446,0.041870,0.088847,0.002438,0.134024,0.106481
0.285000,-0.031418,0.041903,0.088876,-0.000989,0.091288,0.030077
0.295000,-0.031424,0.041903,0.088875,0.001678,0.063198,0.011610
0.305000,-0.031450,0.041890,0.088851,0.005648,0.155710,0.123902
0.315000,-0.031435,0.041926,0.088861,-0.012411,0.056289,0.029088
0.325000,-0.031442,0.041907,0.088871,0.008203,0.083938,0.037560
0.335000,-0.031450,0.041894,0.088830,-0.025514,0.080110,0.086432
0.345000,-0.031423,0.041911,0.088876,0.005620,0.093214,0.021871
0.355000,-0.031425,0.041901,0.088867,-0.000614,0.075920,0.031785
0.365000,-0.031430,0.041906,0.088873,0.002473,0.071695,0.010557
0.375000,-0.031448,0.041895,0.088828,-0.028098,0.091915,0.111605
0.384000,-0.031444,0.041911,0.088846,-0.013820,0.143537,0.117799
0.395000,-0.031438,0.041886,0.088842,-0.018460,0.138533,0.117992
0.405000,-0.031440,0.041872,0.088847,0.010631,0.133119,0.107772
0.415000,-0.031426,0.041878,0.088852,-0.024885,0.147417,0.112239
0.425000,-0.031425,0.041907,0.088868,0.005047,0.074373,0.014665
0.438000,-0.031437,0.041891,0.088840,-0.015139,0.126068,0.096847
0.445000,-0.031427,0.041899,0.088876,0.005006,0.070906,0.011146
0.457000,-0.031432,0.041908,0.088874,-0.001734,0.076379,0.027127
0.465000,-0.031433,0.041912,0.088878,0.006060,0.084961,0.015609
0.475000,-0.031439,0.041881,0.088849,-0.007079,0.133209,0.102865
0.485000,-0.031427,0.041905,0.088882,-0.011925,0.105820,0.045698
0.495000,-0.031423,0.041904,0.088877,0.011737,0.066858,0.013596
0.505000,-0.031450,0.041883,0.088834,-0.009932,0.163978,0.118624
0.515000,-0.031456,0.041904,0.088848,-0.021825,0.128494,0.107074
0.525000,-0.031435,0.041911,0.088867,-0.002870,0.110615,0.035169
0.535000,-0.031439,0.041891,0.088841,-0.043080,0.186010,0.137421
0.545000,-0.031448,0.041892,0.088864,-0.002916,0.133591,0.097519
0.555000,-0.031426,0.041913,0.088882,0.005382,0.063086,0.016019
0.565000,-0.031439,0.041885,0.088834,-0.016006,0.151260,0.124988
0.575000,-0.031435,0.041883,0.088845,-0.012773,0.117141,0.106908
